Farm animals: Cow, Pig, Goat, Sheep
Shades of blue: Navy, Teal, Azure, Cobalt
___ball: Snow, Fire, Hair, Gum
Hidden numbers: Network, Often, Weight, Phone

Breakfast foods: Toast, Bacon, Waffle, Cereal
Things with keys: Piano, Keyboard, Typewriter, Map
Things you can break: Record, Promise, Heart, Silence
Sound like letters: Sea, Bee, Tea, Eye

Planets: Mars, Venus, Saturn, Neptune
Currencies: Yen, Euro, Peso, Rand
Bodies of water: Lake, River, Ocean, Pond
Hidden animals: Ratio, Beard, Pigment, Scatter

Kitchen appliances: Toaster, Blender, Oven, Fridge
Tools: Hammer, Wrench, Pliers, Chisel
Things with wings: Bird, Plane, Angel, Bat
___house: Green, Light, Ware, Tree

Musical instruments: Flute, Drum, Harp, Cello
Pasta: Penne, Fusilli, Orzo, Ravioli
Greek letters: Alpha, Beta, Gamma, Delta
Add S to the front for a new word: Hop, Mile, Kill, Tar

Clothing: Scarf, Jacket, Sweater, Socks
Cheeses: Brie, Cheddar, Gouda, Feta
Sports gear: Racket, Puck, Paddle, Shuttlecock
Things with scales: Fish, Piano, Dragon, Justice

Fruits: Grape, Mango, Plum, Lemon
Ways to cook: Grill, Boil, Roast, Steam
Silent letters: Knife, Gnat, Wrap, Hour
Cold ___: Shoulder, War, Feet, Snap

Metals: Iron, Copper, Zinc, Tin
Gemstones: Ruby, Opal, Topaz, Jade
Fast: Quick, Rapid, Swift, Brisk
___fish: Sword, Cat, Jelly, Star

Sports: Tennis, Golf, Rugby, Cricket
Fabrics: Silk, Wool, Denim, Linen
Countries: Chad, Peru, Cuba, Fiji
Things with spines: Book, Cactus, Hedgehog, Porcupine

Weather: Rain, Snow, Hail, Sleet
Italian cities: Rome, Milan, Turin, Naples
Sea creatures: Shark, Whale, Squid, Crab
Things with rings: Saturn, Onion, Tree, Boxing

Rainbow colors: Red, Orange, Indigo, Violet
Quantities: Dozen, Score, Pair, Trio
Containers: Jar, Pot, Tub, Bin
Things with a bridge: Nose, Guitar, Violin, Glasses

Shakespeare plays: Hamlet, Macbeth, Othello, Tempest
Board games: Chess, Monopoly, Cluedo, Risk
Wizards: Merlin, Gandalf, Dumbledore, Saruman
Hidden drinks: Rumble, Ginger, Portrait, Tearful

Baby animals: Puppy, Kitten, Cub, Calf
Shoes: Boot, Sandal, Loafer, Clog
Trees: Oak, Elm, Pine, Maple
Things you can crack: Joke, Code, Egg, Whip

Music genres: Jazz, Rock, Blues, Soul
Vegetables: Carrot, Leek, Pea, Kale
Times of day: Dawn, Noon, Dusk, Midnight
___ roll: Drum, Egg, Sausage, Sushi

Vehicles: Bus, Tram, Taxi, Truck
Bears: Polar, Grizzly, Panda, Sun
Dances: Tango, Waltz, Salsa, Ballet
Things you can draw: Curtain, Bath, Sword, Conclusion

Dog breeds: Poodle, Beagle, Boxer, Husky
Joints: Elbow, Knee, Wrist, Ankle
Famous bridges: London, Brooklyn, Golden Gate, Rialto
Hidden body parts: Charm, Handy, Chinese, Legend

Months: April, June, July, August
Eye colors: Hazel, Amber, Brown, Grey
Flowers: Daisy, Tulip, Lily, Poppy
Spring a ___: Leak, Trap, Surprise, Lock

Coffee drinks: Latte, Mocha, Espresso, Cappuccino
Salad ingredients: Lettuce, Cucumber, Tomato, Radish
Things you can pour: Rain, Tea, Concrete, Drink
Black ___: Belt, Sheep, Hole, Friday

Pets: Hamster, Goldfish, Parrot, Rabbit
Farm buildings: Barn, Silo, Stable, Coop
Ways to walk: Stroll, March, Hike, Stride
Things with teeth: Comb, Saw, Zip, Gear

Superheroes: Batman, Superman, Spiderman, Hulk
Video game characters: Mario, Sonic, Link, Pikachu
Cartoon cats: Garfield, Felix, Tom, Sylvester
Famous Peters: Parker, Pan, Rabbit, Griffin

Fast food: Burger, Pizza, Taco, Nugget
Desserts: Pie, Cake, Trifle, Sundae
Baked ___: Beans, Potato, Alaska, Ham
Slang for money: Dough, Bread, Bacon, Cheddar

Kitchen utensils: Whisk, Ladle, Spatula, Tongs
Bathroom items: Towel, Soap, Shampoo, Toothbrush
Things you can roll: Dice, Eyes, Pastry, Credits
Things with handles: Cup, Door, Suitcase, Broom

Disney title characters: Cinderella, Rapunzel, Pinocchio, Aladdin
Disney villains: Scar, Ursula, Jafar, Maleficent
Fairy tale animals: Wolf, Frog, Swan, Goose
Glass ___: Slipper, Ceiling, House, Eye

Pizza toppings: Pepperoni, Mushroom, Olive, Pineapple
Bread types: Baguette, Rye, Sourdough, Ciabatta
Sandwich fillings: Ham, Tuna, Egg, Cheese
Egg ___: Nog, Plant, Shell, Timer

Farm machines: Tractor, Combine, Plough, Baler
Construction machines: Crane, Bulldozer, Digger, Mixer
Airport places: Runway, Terminal, Cockpit, Hangar
Things with wheels: Skateboard, Cart, Bicycle, Roller

Winter sports: Skiing, Curling, Luge, Bobsled
Water sports: Surfing, Rowing, Diving, Sailing
Track events: Sprint, Relay, Hurdles, Marathon
___ball: Pin, Foot, Volley, Eye

Types of cloud: Cirrus, Cumulus, Stratus, Nimbus
Types of rock: Granite, Marble, Basalt, Slate
Winds: Breeze, Gale, Gust, Zephyr
Storms: Hurricane, Tornado, Blizzard, Monsoon

Yoga poses: Cobra, Tree, Warrior, Child
Poker hands: Flush, Straight, Pair, Full House
Dance moves: Twist, Moonwalk, Robot, Worm
Belly ___: Button, Dance, Laugh, Flop

Hospital staff: Nurse, Surgeon, Porter, Midwife
Writing tools: Pen, Quill, Pencil, Marker
Weekend activities: Brunch, Picnic, Hike, Barbecue
Things with a lid: Jar, Pot, Kettle, Coffin

Chess pieces: King, Queen, Bishop, Knight
Card games: Bridge, Rummy, Snap, Whist
Casino games: Roulette, Craps, Slots, Keno
Words meaning nonsense: Bunk, Hogwash, Rubbish, Poppycock

Dinosaurs: Raptor, Stegosaurus, Triceratops, Brontosaurus
Extinct animals: Mammoth, Dodo, Sabertooth, Trilobite
Ancient Egypt: Pharaoh, Sphinx, Pyramid, Mummy
Ancient civilizations: Maya, Inca, Roman, Aztec

Space objects: Comet, Asteroid, Nebula, Galaxy
Space missions: Apollo, Voyager, Hubble, Sputnik
Moon phases: Crescent, Gibbous, Full, Waning
Things in orbit: Satellite, Station, Debris, Moon
